Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,NRxRSRP,NRxRSRQ,ServingCell_Lon,ServingCell_Lat,ServingCell_Distance
2018.01.27_13.58.29,-8.502026,51.892657,0,A,2,LTE,-116,-13,3.0,5,-94,13577,210,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.58.30,-8.502026,51.892657,0,A,2,LTE,-116,-13,3.0,5,-94,12224,192,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.58.31,-8.502026,51.892657,0,A,2,LTE,-116,-13,4.0,5,-94,10109,184,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.58.32,-8.502026,51.892657,0,A,2,LTE,-116,-13,4.0,7,-94,7661,126,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.58.33,-8.502026,51.892657,0,A,2,LTE,-106,-13,3.0,7,-89,7448,121,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.58.34,-8.502026,51.892657,0,A,2,LTE,-106,-13,3.0,7,-89,17995,279,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.58.36,-8.502026,51.892657,0,A,2,LTE,-105,-14,5.0,7,-89,26863,361,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.58.37,-8.502026,51.892657,0,A,2,LTE,-105,-14,5.0,8,-,28967,379,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.58.38,-8.502026,51.892657,0,A,2,LTE,-106,-14,4.0,8,-,18822,282,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.58.39,-8.502026,51.892657,0,A,2,LTE,-106,-14,4.0,8,-,17279,257,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.58.40,-8.502026,51.892657,0,A,2,LTE,-106,-13,2.0,8,-,20254,314,D,-97.0,-19.0,-8.502261,51.89038,253.69999999999999
2018.01.27_13.58.41,-8.502026,51.892657,0,A,2,LTE,-106,-13,2.0,7,-,29827,381,D,-97.0,-19.0,-8.502261,51.89038,253.69999999999999
2018.01.27_13.58.42,-8.502026,51.892657,0,A,2,LTE,-105,-13,3.0,7,-,19795,267,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.58.43,-8.502026,51.892657,0,A,2,LTE,-105,-13,3.0,7,-,20220,235,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.58.44,-8.502026,51.892657,0,A,2,LTE,-105,-14,2.0,7,-,10143,159,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.58.45,-8.502026,51.892657,0,A,2,LTE,-105,-14,2.0,7,-,10635,177,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.58.47,-8.502026,51.892657,0,A,2,LTE,-106,-13,1.0,7,-,9048,128,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.58.48,-8.502026,51.892657,0,A,2,LTE,-106,-13,1.0,7,-,22502,302,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.58.49,-8.502026,51.892657,0,A,2,LTE,-106,-14,0.0,7,-,23821,314,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.58.50,-8.502026,51.892657,0,A,2,LTE,-106,-14,0.0,7,-,22737,309,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.58.51,-8.502026,51.892657,0,A,2,LTE,-105,-14,1.0,7,-,14785,217,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.58.52,-8.502026,51.892657,0,A,2,LTE,-105,-14,1.0,7,-,15288,240,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.58.53,-8.502026,51.892657,0,A,2,LTE,-105,-14,2.0,7,-,16708,243,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.58.54,-8.502026,51.892657,0,A,2,LTE,-105,-14,2.0,7,-,13633,224,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.58.55,-8.502026,51.892657,0,A,2,LTE,-105,-14,1.0,7,-,17804,240,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.58.57,-8.502026,51.892657,0,A,2,LTE,-105,-14,1.0,7,-,18677,215,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.58.58,-8.502026,51.892657,0,A,2,LTE,-105,-14,1.0,7,-,23452,302,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.58.59,-8.502026,51.892657,0,A,2,LTE,-105,-14,1.0,7,-,18621,291,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.00,-8.502026,51.892657,0,A,2,LTE,-105,-14,1.0,7,-,17927,234,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.01,-8.502026,51.892657,0,A,2,LTE,-105,-14,1.0,7,-,23063,282,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.02,-8.502026,51.892657,0,A,2,LTE,-106,-14,1.0,7,-,24034,331,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.03,-8.502026,51.892657,0,A,2,LTE,-106,-14,1.0,7,-,23810,307,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.04,-8.502026,51.892657,0,A,2,LTE,-105,-14,1.0,7,-,26897,284,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.05,-8.502026,51.892657,0,A,2,LTE,-105,-14,1.0,7,-,26192,271,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.06,-8.502026,51.892657,0,A,2,LTE,-105,-14,1.0,7,-,19493,282,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.08,-8.502026,51.892657,0,A,2,LTE,-105,-14,1.0,7,-,21853,294,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.09,-8.502026,51.892657,0,A,2,LTE,-106,-14,1.0,7,-,15825,241,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.10,-8.502026,51.892657,0,A,2,LTE,-106,-14,1.0,7,-,10714,173,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.11,-8.502026,51.892657,0,A,2,LTE,-106,-14,1.0,7,-,13801,204,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.12,-8.502026,51.892657,0,A,2,LTE,-106,-14,1.0,7,-,21618,320,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.13,-8.502026,51.892657,0,A,2,LTE,-106,-14,1.0,7,-,18431,261,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.14,-8.502026,51.892657,0,A,2,LTE,-106,-14,1.0,7,-,18733,247,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.15,-8.502026,51.892657,0,A,2,LTE,-105,-14,1.0,7,-,9316,146,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.16,-8.502026,51.892657,0,A,2,LTE,-105,-14,1.0,7,-,13376,217,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.18,-8.502026,51.892657,0,A,2,LTE,-105,-14,1.0,7,-,18420,253,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.19,-8.502026,51.892657,0,A,2,LTE,-105,-14,1.0,7,-,21506,275,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.20,-8.502026,51.892657,0,A,2,LTE,-105,-14,1.0,7,-,18565,260,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.21,-8.502026,51.892657,0,A,2,LTE,-105,-14,1.0,7,-,19873,279,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.22,-8.502026,51.892657,0,A,2,LTE,-106,-14,0.0,7,-,17200,239,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.23,-8.502026,51.892657,0,A,2,LTE,-106,-14,0.0,7,-,18726,254,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.24,-8.502026,51.892657,0,A,2,LTE,-105,-14,0.0,7,-,17223,259,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.25,-8.502026,51.892657,0,A,2,LTE,-105,-14,0.0,7,-,15657,224,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.27,-8.502026,51.892657,0,A,2,LTE,-106,-14,0.0,7,-,12660,188,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.28,-8.502026,51.892657,0,A,2,LTE,-106,-14,0.0,7,-,11418,177,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.29,-8.502026,51.892657,0,A,2,LTE,-106,-14,0.0,7,-,13006,215,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.30,-8.502026,51.892657,0,A,2,LTE,-106,-14,0.0,7,-,11776,185,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.31,-8.502026,51.892657,0,A,2,LTE,-106,-14,0.0,7,-,9584,156,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.32,-8.502026,51.892657,0,A,2,LTE,-106,-14,0.0,7,-,11877,188,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.33,-8.502026,51.892657,0,A,2,LTE,-106,-14,-1.0,6,-,8645,143,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.34,-8.502026,51.892657,0,A,2,LTE,-106,-14,-1.0,6,-,12805,210,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.35,-8.502026,51.892657,0,A,2,LTE,-105,-14,0.0,6,-,11765,198,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.37,-8.502026,51.892657,0,A,2,LTE,-105,-14,0.0,6,-,14014,212,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.38,-8.502026,51.892657,0,A,2,LTE,-106,-14,0.0,6,-,13767,218,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.39,-8.502026,51.892657,0,A,2,LTE,-106,-14,0.0,6,-,13331,217,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.40,-8.502026,51.892657,0,A,2,LTE,-106,-14,0.0,6,-,9819,164,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.41,-8.502026,51.892657,0,A,2,LTE,-106,-14,0.0,6,-,13789,212,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.42,-8.502026,51.892657,0,A,2,LTE,-105,-14,1.0,6,-,5569,93,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.43,-8.502026,51.892657,0,A,2,LTE,-105,-14,1.0,6,-,13197,205,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.44,-8.502026,51.892657,0,A,2,LTE,-105,-14,1.0,6,-,12917,216,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.45,-8.502026,51.892657,0,A,2,LTE,-105,-14,1.0,6,-,13454,193,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.47,-8.502026,51.892657,0,A,2,LTE,-106,-14,1.0,6,-,14472,229,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.48,-8.502026,51.892657,0,A,2,LTE,-106,-14,1.0,6,-,10322,172,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.49,-8.502026,51.892657,0,A,2,LTE,-106,-14,0.0,6,-,11083,178,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.50,-8.502026,51.892657,0,A,2,LTE,-106,-14,0.0,6,-,7090,126,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.51,-8.502026,51.892657,0,A,2,LTE,-106,-14,-1.0,6,-,6307,104,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.52,-8.502026,51.892657,0,A,2,LTE,-106,-14,-1.0,6,-,8991,153,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.53,-8.502026,51.892657,0,A,2,LTE,-105,-14,-1.0,6,-,9931,164,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.54,-8.502026,51.892657,0,A,2,LTE,-105,-14,-1.0,6,-,4943,87,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.55,-8.502026,51.892657,0,A,2,LTE,-105,-14,-2.0,6,-,8466,133,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.57,-8.502026,51.892657,0,A,2,LTE,-105,-14,-2.0,6,-,11933,181,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.58,-8.502026,51.892657,0,A,2,LTE,-105,-14,-2.0,6,-,14136,218,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_13.59.59,-8.502026,51.892657,0,A,2,LTE,-105,-14,-2.0,6,-,15512,234,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_14.00.00,-8.502026,51.892657,0,A,2,LTE,-105,-14,-2.0,6,-,13599,211,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_14.00.01,-8.502026,51.892657,0,A,2,LTE,-105,-14,-2.0,6,-,10546,159,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_14.00.02,-8.502026,51.892657,0,A,2,LTE,-105,-14,-3.0,6,-,11765,174,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_14.00.03,-8.502026,51.892657,0,A,2,LTE,-105,-14,-3.0,6,-,13152,215,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_14.00.04,-8.502026,51.892657,0,A,2,LTE,-105,-14,-3.0,6,-,11620,188,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_14.00.06,-8.502026,51.892657,0,A,2,LTE,-105,-14,-3.0,6,-,9808,162,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_14.00.07,-8.502026,51.892657,0,A,2,LTE,-105,-14,-3.0,6,-,5133,85,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_14.00.08,-8.502026,51.892657,0,A,2,LTE,-105,-14,-3.0,6,-,5468,88,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_14.00.09,-8.502026,51.892657,0,A,2,LTE,-106,-14,-2.0,6,-,7325,123,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_14.00.10,-8.502026,51.892657,0,A,2,LTE,-106,-14,-2.0,6,-,6609,91,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_14.00.11,-8.502026,51.892657,0,A,2,LTE,-106,-14,-1.0,6,-,8745,139,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_14.00.12,-8.502026,51.892657,0,A,2,LTE,-106,-14,-1.0,6,-,11855,184,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_14.00.13,-8.502026,51.892657,0,A,2,LTE,-106,-14,0.0,6,-,5245,91,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_14.00.14,-8.502026,51.892657,0,A,2,LTE,-106,-14,0.0,6,-,4954,81,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_14.00.16,-8.502026,51.892657,0,A,2,LTE,-105,-14,0.0,6,-,5155,89,D,-,-,-8.502261,51.89038,253.69999999999999
2018.01.27_14.00.17,-8.502026,51.892657,0,A,2,LTE,-105,-14,0.0,6,-,2851,47,D,-,-,-8.502261,51.89038,253.69999999999999
