Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,CELLHEX,NODEHEX,LACHEX,RAWCELLID,NRxRSRP,NRxRSRQ
2020.02.27_18.39.27,-8.394632000000001,51.886254,0,B,11,5G,-101,-10,0.0,12,-103,12,3,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104.0,-9.0
2020.02.27_18.39.28,-8.394656,51.886262,0,B,11,5G,-101,-10,0.0,12,-103,12,3,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104.0,-9.0
2020.02.27_18.39.28,-8.394656,51.886262,0,B,11,5G,-101,-10,0.0,12,-103,0,0,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104.0,-9.0
2020.02.27_18.39.29,-8.394656,51.886262,0,B,11,5G,-101,-10,8.0,13,-103,0,0,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104.0,-9.0
2020.02.27_18.39.30,-8.394656,51.886262,0,B,11,5G,-101,-10,8.0,13,-103,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-104.0,-9.0
2020.02.27_18.39.32,-8.394656,51.886262,0,B,11,5G,-101,-12,3.0,12,-103,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-103.0,-9.0
2020.02.27_18.39.33,-8.394656,51.886262,0,B,11,5G,-101,-12,3.0,12,-101,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-103.0,-9.0
2020.02.27_18.39.34,-8.394656,51.886262,0,B,11,5G,-99,-10,4.0,12,-101,0,0,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-102.0,-9.0
2020.02.27_18.39.35,-8.394656,51.886262,0,B,11,5G,-99,-10,4.0,12,-105,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-102.0,-9.0
2020.02.27_18.39.36,-8.394656,51.886262,0,B,11,5G,-99,-9,8.0,11,-105,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-105.0,-9.0
2020.02.27_18.39.38,-8.394656,51.886262,0,B,11,5G,-99,-9,8.0,11,-103,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-105.0,-9.0
2020.02.27_18.39.38,-8.394656,51.886262,0,B,11,5G,-99,-9,8.0,11,-103,0,0,D,81.0,66.0,121.0,23.0,0.0,B,A4DF,9CBA,10805003,-105.0,-9.0
